VideoID,"Question",Answer1 (corr),Answer2,Answer3,Answer4,youtubeURL,,,https://www.youtube.com/watch?v=
qaDMnLE6NBU,What is placed at the center of each spring roll?,Veggies,Shrimp,Tofu,Sauce,https://www.youtube.com/watch?v=qaDMnLE6NBU,,,
qaDMnLE6NBU,How many sauces are the spring rolls served with?,Two,Many,Zero,,https://www.youtube.com/watch?v=qaDMnLE6NBU,,,
,,,,,,https://www.youtube.com/watch?v=,,,
P7XOVPrxEaQ,What liquid ingredient is added to provide creaminess?,Coconut Milk,Cream,Fish Sauce,Kaffir Lime Leaves,https://www.youtube.com/watch?v=P7XOVPrxEaQ,,,
P7XOVPrxEaQ,What dish is used to cook the curry?,A wok,A pan,A pot,A skillet,https://www.youtube.com/watch?v=P7XOVPrxEaQ,,,
P7XOVPrxEaQ,Why is it important not to cook the basil for too long?,It burns and becomes black,It's taste becomes dull,It becomes too soft,It begins to break apart,https://www.youtube.com/watch?v=P7XOVPrxEaQ,,,
P7XOVPrxEaQ,How should the wok be heated before adding the paste?,Slowly increasing heat,Over low constant heat,Hot pan without oil,Directly into hot oil,https://www.youtube.com/watch?v=P7XOVPrxEaQ,,,
,,,,,,https://www.youtube.com/watch?v=,,,
Nz9EAqTBrNw,What ingredient in the roll contains protein?,Imitation Crab,Shrimp,Salmon,Tuna,https://www.youtube.com/watch?v=Nz9EAqTBrNw,,,
Nz9EAqTBrNw,How does the chef prevent the rice from sticking when rolling?,He uses plastic wrap,He hits the roll on the counter,He adds a starch,He undercooks the rice,https://www.youtube.com/watch?v=Nz9EAqTBrNw,,,
Nz9EAqTBrNw,How much of the nori should be uncovered?,A half inch,A full inch,None,Half of the nori,https://www.youtube.com/watch?v=Nz9EAqTBrNw,,,
Nz9EAqTBrNw,How many pieces does one roll make?,6,8,4,5,https://www.youtube.com/watch?v=Nz9EAqTBrNw,,,
,,,,,,https://www.youtube.com/watch?v=,,,
Njhy1XmKRiQ,What green vegetable is used in the dish?,Green pepper,spinach,basil,Green onion,https://www.youtube.com/watch?v=Njhy1XmKRiQ,,,
Njhy1XmKRiQ,What is used to garnish the dish?,Carrot,Sesame seeds,green onion,sauce,https://www.youtube.com/watch?v=Njhy1XmKRiQ,,,
Njhy1XmKRiQ,Which utensil is used to cook the dish?,Ladle,Tongs,Spatula,Slotted spoon,https://www.youtube.com/watch?v=Njhy1XmKRiQ,,,
Njhy1XmKRiQ,What is the name of the restaurant?,Cha Ya Asian Bistro,Panda Express,Noodle Spot,Gu's Dumplings,https://www.youtube.com/watch?v=Njhy1XmKRiQ,,,
,,,,,,https://www.youtube.com/watch?v=,,,
MCs2_Ih0PZA,What meat is used in the recipe?,Veal,Chicken,Beef ,Pork,https://www.youtube.com/watch?v=MCs2_Ih0PZA,,,
MCs2_Ih0PZA,How does the chef add acid to the dish?,Lemon,Vinegar,Hot sauce,Orange,https://www.youtube.com/watch?v=MCs2_Ih0PZA,,,
MCs2_Ih0PZA,How many times should the shnitzel be turned?,Once,Twice,Three times,As many as needed,https://www.youtube.com/watch?v=MCs2_Ih0PZA,,,
MCs2_Ih0PZA,Why should you rock the pan during cooking?,To splash oil on top,To apply heat more evenly,To stop the meat from sticking,To look like a pro chef,https://www.youtube.com/watch?v=MCs2_Ih0PZA,,,
,,,,,,https://www.youtube.com/watch?v=,,,
LoeSv5enisE,What seed-based paste is a key ingredient for the recipe?,Tahini,Almond Butter,Peanut butter,Cashew Butter,https://www.youtube.com/watch?v=LoeSv5enisE,,,
LoeSv5enisE,How does the chef increase extractable lemon juice?,Freezing prior to juice,Peel lemon first,Lightly Grill Lemon,Boil for 10 minutes,,,,
LoeSv5enisE,Which dairy product does the chef add for tanginess?,Yogurt,Sour Cream,Cream Cheese,Mozarella,https://www.youtube.com/watch?v=LoeSv5enisE,,,
LoeSv5enisE,How does the chef make the dish look better before serving? ,Add with parsley and olive oil,Garnish with chopped tomatoes,Mix in chopped green onions,Sprinkle with grated carrots,https://www.youtube.com/watch?v=LoeSv5enisE,,,
,,,,,,https://www.youtube.com/watch?v=,,,
Lky6MPtNJto,Which type of mushrooms does the chef use for the sauce?,Shiitake,Porcini,Crimini,Button,https://www.youtube.com/watch?v=Lky6MPtNJto,,,
Lky6MPtNJto,What thickening method does the chef use for the sauce,A roux made with flour,Cornstarch slurry,Simmering a lot,Adding egg yolks,https://www.youtube.com/watch?v=Lky6MPtNJto,,,
Lky6MPtNJto,What internal temperature is required to be fully cooked?,155°F,140°F,165°F,175°F,https://www.youtube.com/watch?v=Lky6MPtNJto,,,
Lky6MPtNJto,Which herb is added for additional flavor?,Rosemary,Oregano,Thyme,Basil,https://www.youtube.com/watch?v=Lky6MPtNJto,,,
,,,,,,https://www.youtube.com/watch?v=,,,
KmqfNQG1BXk,Which special ingredient is sliced and added for authenticity?,Naruto Maki,Fried Tofu,Nori,Menma,https://www.youtube.com/watch?v=KmqfNQG1BXk,,,
KmqfNQG1BXk,Which leafy green is boiled and squeezed to top the dish?,Bok Choy,Lettuce,Spinach,Cilantro,https://www.youtube.com/watch?v=KmqfNQG1BXk,,,
KmqfNQG1BXk,How is excess fat removed before reheating?,chilling overnight and scooping,pouring in ice water to coagulate,straining through a cloth,stir to dissolve,https://www.youtube.com/watch?v=KmqfNQG1BXk,,,
KmqfNQG1BXk,Which tool is used to help mix and knead for consistency?,Stand Mixer,Hand Whisk,Chopsticks,Wooden Rolling Pin,https://www.youtube.com/watch?v=KmqfNQG1BXk,,,
,,,,,,https://www.youtube.com/watch?v=,,,
jGnz9f_2A2Y,Which ingredient is ground with seaweed to make the flavor?,Chilli Peppers,Garlic,Ginger,Sesame Seeds,https://www.youtube.com/watch?v=jGnz9f_2A2Y,,,
jGnz9f_2A2Y,How does the chef ensure the batter is light?,Mix cold sparkling water,Use warm tap water,Add milk not water,Let the batter rest overnight,https://www.youtube.com/watch?v=jGnz9f_2A2Y,,,
jGnz9f_2A2Y,What's grated in for a citrusy note?,Lemon Zest,Lime leaves,Orange Peel,Grapefruit Rind,https://www.youtube.com/watch?v=jGnz9f_2A2Y,,,
jGnz9f_2A2Y,How does the chef make sure it's fully cooked?,Turn pink with golden batter,Time for 10 minutes,Float immediately,Taste one every now and then,https://www.youtube.com/watch?v=jGnz9f_2A2Y,,,
,,,,,,https://www.youtube.com/watch?v=,,,
i8BjqgemuXo,What cheese is added for a nutty flavor?,Gruyere,Cheddar,Emmental,Parmaesan,https://www.youtube.com/watch?v=i8BjqgemuXo,,,
i8BjqgemuXo,What spice is added for a warm note?,Nutmeg,Clove,Cinammon,Cardamom,https://www.youtube.com/watch?v=i8BjqgemuXo,,,
i8BjqgemuXo,How to not burn the dish from the bottom?,Greaseproof Paper,Low heat,Keep flipping,Extra pan oil,https://www.youtube.com/watch?v=i8BjqgemuXo,,,
i8BjqgemuXo,What distinguishes this dish?,Honey ham and parma ham,Bread type,Replace with turkey,Serve extra cold,https://www.youtube.com/watch?v=i8BjqgemuXo,,,
,,,,,,https://www.youtube.com/watch?v=,,,
g1jFJYtQ9_s,What flour is used traditionally for this dish?,Whole wheat flour,Cornmeal,Corn flour,Rice flour,https://www.youtube.com/watch?v=g1jFJYtQ9_s,,,
g1jFJYtQ9_s,How long do you rest the dish prior to rolling?,30 minutes,20 minutes,10 minutes,45 minutes,https://www.youtube.com/watch?v=g1jFJYtQ9_s,,,
g1jFJYtQ9_s,How to make the dish fluffy?,Open flame placement,Flattening with spatula,Add yeast to leaven,Freeze prior to cooking,https://www.youtube.com/watch?v=g1jFJYtQ9_s,,,
g1jFJYtQ9_s,What is added to griddle for extra flavor?,Brushing ghee,Sugar sprinkle,Honey drizzle,Yogurt spoonful,https://www.youtube.com/watch?v=g1jFJYtQ9_s,,,
